longitude	latitude	depth	Scaled Size
97.0016	26.5187	56.669	0.3
92.9927	33.5389	10	0.3
70.6013	36.4979	204	0.3
82.1531	28.858	12	0.3
81.242	29.4973	13	0.3
70.7227	36.4504	209	0.3
96.2315	25.1051	10	0.3
69.8931	39.383	12	0.3
70.943	36.523	192	0.3
70.7455	36.4738	203	0.3
81.1593	29.2917	11	0.3
92.7977	33.1157	5	0.3
69.4639	33.0203	4	0.3
97.2898	38.5365	10	0.3
71.126	36.4307	212	0.3
97.3425	38.4613	10	0.3
67.9948	30.1933	9	0.3
70.5612	38.9152	11.75	0.3
92.4565	26.7813	34	0.3
92.9151	31.9246	8	0.3
73.5448	38.1357	98	0.3
86.8637	33.1438	10	0.3
82.4158	35.5948	10	0.3
72.2035	37.8342	127	0.3
87.3081	28.5896	10	0.3
77.1084	39.8353	5.55	0.3
74.628	35.5909	13.82	0.3
70.4555	36.5374	212	0.3
70.0571	36.5272	226	0.3
94.5605	28.4073	14	0.3
70.7006	36.4642	211.72	0.3
87.62	30.4079	10	0.3
71.3822	36.9942	116	0.3
69.9779	38.7161	5	0.3
70.8507	36.5261	193.73	0.3
94.9838	29.8333	8	0.3
71.4223	39.4789	10	0.3
71.4438	39.4939	11	0.3
84.9583	37.1442	10	0.3
94.8768	32.8959	35	0.3
73.3388	39.4793	13	0.3
72.4114	38.0233	10	0.3
70.9503	36.5979	239	0.3
71.1263	36.4935	206	0.3
71.4233	36.4344	102	0.3
70.6847	36.459	206.94	0.3
70.326	29.6377	11	0.3
71.2147	36.5326	224	0.3
78.1542	37.4593	20	0.3
86.1617	27.625	15	0.3
87.3173	28.3902	10	0.3
86.0213	27.6857	10	0.3
85.5398	27.6285	10	0.3
70.7174	36.4544	200	0.3
82.4667	35.8221	10	0.3
99.3502	28.2425	8	0.3
97.9565	30.0464	6	0.3
67.314	39.956	18	0.3
75.863	33.061	15	0.3
95.048	25.329	93	0.3
82.518	35.661	13	0.3
71.375	37.248	98.4	0.3
70.906	36.527	198	0.3
94.696	25.592	58	0.3
69.351	36.023	16	0.3
70.354	38.612	10	0.3
73.152	36.741	11	0.3
81.307	39.383	38	0.3
71.102	36.502	212.1	0.3
77.028	39.955	10	0.3
70.748	36.409	207.3	0.3
70.927	36.491	190.2	0.3
72.791	38.413	110	0.3
70.774	36.443	220.1	0.3
96.07	33.165	7	0.3
67.658	35.633	13	0.3
96.449	33.195	7.6	0.3
92.708	32.509	7	0.3
70.074	35.94	99.7	0.3
70.722	36.391	210	0.3
70.95	36.517	185.9	0.3
91.437	27.332	14	0.3
95.831	37.606	6	0.3
95.767	37.679	16.4	0.3
95.709	37.646	4	0.3
95.718	37.696	13	0.3
85.902	31.158	13.4	0.3
70.883	36.442	186.7	0.3
71.075	36.389	151	0.3
67.404	30.442	10	0.3
95.833	37.565	19	0.3
67.455	30.598	14	0.3
67.351	30.639	15	0.3
70.683	36.49	210	0.3
90.35	29.807	12	0.3
69.47	33.886	10	0.3
73.888	39.508	35	0.3
73.663	39.359	35	0.3
83.487	30.836	4	0.3
70.934	36.487	191.5	0.3
97.697	25.039	10	0.3
81.433	35.513	10	0.3
85.158	32.331	9	0.3
85.166	32.288	10	0.3
81.967	34.248	9	0.3
70.688	36.451	222.1	0.3
70.312	39.803	16	0.3
74.733	37.367	11	0.3
68.828	37.255	34.2	0.3
71.836	39.119	7	0.3
90.413	31.607	33.1	0.3
89.669	35.314	10	0.3
91.705	26.912	10	0.3
71.093	36.357	224.6	0.3
73.037	34.751	5	0.3
73.182	34.67	7	0.3
73.199	34.71	12	0.3
73.12	34.771	10	0.3
73.187	34.593	10	0.3
73.1	34.733	8	0.3
73.125	34.65	10	0.3
73.323	34.515	10	0.3
73.239	34.712	10	0.3
73.477	34.353	10	0.3
73.781	34.994	10	0.3
73.579	34.238	10	0.3
71.32	36.569	63.1	0.3
94.626	28.881	25.8	0.3
83.662	30.491	11	0.3
72.707	38.107	114.9	0.3
71.857	39.189	20	0.3
81.154	31.024	10.1	0.3
70.796	36.444	207	0.3
83.672	30.694	13	0.3
96.604	37.485	10	0.3
89.179	33.954	8	0.3
70.774	36.397	218	0.3
91.236	31.639	11	0.3
75.325	38.599	10	0.3
89.475	34.606	17.7	0.3
77.219	39.43	10	0.3
96.476	37.529	14	0.3
70.585	35.976	114.1	0.3
77.426	39.362	10	0.3
77.23	39.61	11	0.3
75.254	39.57	10	0.3
97.443	39.736	22	0.3
74.515	35.414	33	0.3
69.979	30.797	33	0.3
94.495	34.132	33	0.3
81.44	30.595	33	0.3
69.417	35.959	10	0.3
69.338	36.023	10	0.3
69.315	36.062	8	0.3
70.438	36.429	209	0.3
70.687	36.088	129.3	0.3
71.506	36.392	106.5	0.3
93.691	35.726	10	0.3
93.384	35.726	10	0.3
86.902	34.369	33	0.3
70.881	36.424	202.5	0.3
99.343	35.389	10	0.3
70.924	36.283	141.4	0.3
97.238	26.856	33	0.3
70.657	35.975	107.7	0.3
73.053	38.176	140.5	0.3
70.379	36.372	206.9	0.3
71.24	36.522	228.4	0.3
69.419	30.069	51.5	0.3
71.353	36.622	189.3	0.3
69.444	30.098	33	0.3
69.364	34.259	33	0.3
71.021	36.514	222.5	0.3
86.941	27.85	33	0.3
77.343	39.66	33	0.3
88.109	30.079	33	0.3
76.999	39.573	68.7	0.3
88.173	30.134	33.2	0.3
78.843	37.388	33	0.3
70.133	36.433	227.8	0.3
76.731	39.977	33	0.3
71.086	36.479	235.6	0.3
70.089	37.075	33	0.3
96.609	25.384	33	0.3
70.773	36.387	207	0.3
68.004	30.077	33	0.3
70.945	36.411	196	0.3
76.992	39.634	23.3	0.3
76.941	39.527	15	0.3
76.998	39.537	33	0.3
76.865	39.513	33	0.3
68.022	30.136	33	0.3
68.79	29.422	33	0.3
76.839	39.422	22.4	0.3
67.977	29.985	33	0.3
76.998	39.474	33	0.3
80.532	29.845	33	0.3
96.675	39.604	33	0.3
70.706	36.046	119.5	0.3
88.189	30.147	33	0.3
76.696	39.993	28.2	0.3
70.215	36.447	228.2	0.3
97.351	34.511	33	0.3
70.387	36.43	222.7	0.3
71.129	36.443	233.5	0.3
69.68	32.624	27.6	0.3
67.937	30.232	23.7	0.3
70.893	36.455	186.5	0.3
96.657	25.54	14	0.3
70.957	36.359	238.7	0.3
71.13	36.326	226.6	0.3
93.673	32.567	9.5	0.3
70.07	28.736	33	0.3
67.163	36.901	18.5	0.3
96.867	26.188	33	0.3
97.203	25.231	9.9	0.3
75.533	39.263	18.2	0.3
67.219	30.798	26.5	0.3
98.655	38.477	8.1	0.3
88.69	38.171	14.3	0.3
88.605	38.169	13.6	0.3
88.663	38.19	14.1	0.3
71.592	36.421	112.6	0.3
70.812	36.429	194.5	0.3
70.711	36.436	204.2	0.3
70.416	36.437	272	0.3
87.333	29.084	12.2	0.3
90.373	30.837	33	0.3
72.194	37.814	120.1	0.3
72.635	38.62	40.6	0.3
70.852	36.446	198.4	0.3
90.163	29.584	14.1	0.3
71.317	33.377	16.3	0.3
72.913	37.207	33	0.3
80.661	35.696	17.7	0.3
95.521	29.61	15	0.3
81.632	29.543	29.4	0.3
70.338	37.612	8.3	0.3
70.486	35.121	113.9	0.3
70.789	36.415	216.8	0.3
74.363	38.43	114	0.3
70.428	36.043	113.1	0.3
