longitude	latitude	depth	Scaled Size
95.2338	25.0099	91.384	0.2
69.508	33.0822	35.13	0.2
81.1968	28.0619	10	0.2
99.133	38.4773	10	0.2
93.6677	37.8597	10	0.2
71.0949	36.5038	143.445	0.2
71.3235	36.4812	98.864	0.2
86.7827	27.1316	10	0.2
70.591	36.4291	216.706	0.2
70.9833	36.5911	208.72	0.2
69.4864	33.0608	10	0.2
69.6798	34.5144	35.746	0.2
69.5091	29.0575	10	0.2
78.6539	37.4844	10	0.2
70.7633	36.4184	209.373	0.2
83.8247	28.3742	10	0.2
71.1179	36.3681	89.766	0.2
71.1541	36.5049	220.21	0.2
71.1703	36.4814	208.81	0.2
77.8975	35.9196	10	0.2
70.6659	36.4806	199.29	0.2
71.9542	37.0407	154.11	0.2
91.8806	32.2082	10	0.2
70.2878	36.1297	109.66	0.2
71.1286	36.9172	77.39	0.2
76.2415	32.7165	10	0.2
80.4219	29.9682	33.06	0.2
71.7198	37.4966	108.39	0.2
70.5883	38.9236	10	0.2
97.3084	38.5167	15.04	0.2
70.5607	33.2832	41.19	0.2
70.9955	36.577	202.7	0.2
71.5177	39.2435	10	0.2
97.2553	38.5665	10	0.2
97.3511	38.6058	10	0.2
97.3056	38.5795	10	0.2
77.9099	35.9998	10	0.2
97.586	38.944	10	0.2
74.9251	35.5965	10	0.2
71.9394	37.4076	135.11	0.2
81.891	33.636	10	0.2
70.573	36.1554	86.62	0.2
69.7845	35.5378	91.19	0.2
95.7805	35.8038	10	0.2
98.9663	34.574	10	0.2
90.4969	38.8385	10	0.2
70.5963	35.4588	83.92	0.2
96.4951	26.0883	10	0.2
70.4391	36.5399	205.03	0.2
95.0293	33.3086	10	0.2
69.1575	36.0702	10	0.2
94.1513	29.2819	10	0.2
93.8695	25.2468	10	0.2
71.4945	36.5418	106.99	0.2
70.5248	36.474	79.01	0.2
73.7473	38.6317	103	0.2
71.1783	36.59	231.91	0.2
71.1823	36.6252	223.29	0.2
94.6585	36.9982	10	0.2
74.9802	35.6073	10	0.2
74.8205	35.5592	10	0.2
67.4107	30.314	10	0.2
92.619	38.9211	10	0.2
69.9415	37.5281	10	0.2
70.2699	38.7062	10	0.2
87.9296	31.723	6.77	0.2
96.3025	27.0398	10	0.2
68.7997	32.202	10	0.2
78.5517	31.9939	10	0.2
88.7826	27.271	10	0.2
87.4455	28.8267	10	0.2
96.7986	26.6453	10	0.2
84.6179	33.5483	10	0.2
76.8049	33.2123	10	0.2
87.2852	28.7052	10	0.2
94.6879	30.405	10	0.2
94.7873	30.3872	10	0.2
94.8392	30.4182	10	0.2
94.8221	30.3972	10	0.2
68.0339	30.0779	10	0.2
94.7625	30.3349	34.15	0.2
94.8038	30.3231	35.16	0.2
73.0921	38.0692	45.87	0.2
94.8618	30.351	35.41	0.2
94.8247	30.3214	31.64	0.2
71.0771	36.6494	213.77	0.2
73.2259	38.0372	10	0.2
94.7747	30.3557	31.65	0.2
94.8803	25.2256	80.05	0.2
96.4223	28.7353	10	0.2
73.4515	38.4972	110.86	0.2
69.282	30.1325	30.71	0.2
72.1846	33.2902	32.06	0.2
79.282	30.4791	10	0.2
78.7332	36.8193	10	0.2
73.2166	38.1145	35	0.2
73.1869	38.1266	38.59	0.2
77.9281	37.7135	10	0.2
77.9238	37.7236	10	0.2
77.9615	37.6047	10	0.2
70.3436	37.6012	10	0.2
69.1128	36.4122	49.45	0.2
69.7587	30.1983	10	0.2
70.917	39.049	49.08	0.2
95.5261	38.9098	10	0.2
78.7955	32.0551	10	0.2
96.2561	25.094	10	0.2
92.8722	31.9037	10	0.2
70.1356	37.4907	8.68	0.2
71.828	37.596	111.54	0.2
97.4227	34.5936	14.49	0.2
98.0805	34.7112	10	0.2
71.1077	36.4613	113.75	0.2
69.858	36.3149	145.6	0.2
73.1776	38.2622	10	0.2
71.3805	36.9911	102.43	0.2
73.1143	38.7404	96.34	0.2
70.0487	29.3258	10	0.2
70.5672	39.0526	10	0.2
95.2274	25.0311	102.19	0.2
97.9158	34.6768	10	0.2
71.4147	36.6626	183.1	0.2
98.8989	34.4957	10	0.2
90.3499	25.9603	10	0.2
96.5397	26.608	10	0.2
78.2208	34.2781	10	0.2
69.0848	34.9509	16.2	0.2
71.5687	33.5317	33.21	0.2
92.2097	28.0137	65.76	0.2
73.2047	34.7242	10	0.2
93.7234	38.2061	10	0.2
97.0854	26.6187	36.12	0.2
97.8048	34.6927	10	0.2
98.3313	34.5921	10	0.2
98.1957	34.6242	10	0.2
70.1352	36.5239	209.8	0.2
99.1057	34.4724	10	0.2
97.9925	34.7361	10	0.2
98.8106	34.5444	10	0.2
98.8874	34.5353	10	0.2
98.0852	34.7474	10	0.2
98.9375	34.5476	10	0.2
97.4695	34.9495	10	0.2
98.3686	34.5901	10	0.2
97.7166	34.6655	10	0.2
99.058	34.4065	10	0.2
98.4539	34.611	10	0.2
99.978	25.6714	10	0.2
99.104	34.4608	10	0.2
98.7477	34.3861	10	0.2
99.048	34.5192	10	0.2
99.0805	34.4808	10	0.2
98.4674	34.617	10	0.2
98.2954	34.5751	10	0.2
99.9907	25.6815	10	0.2
99.9993	25.5476	10	0.2
99.9889	25.6579	10	0.2
99.9677	25.5864	10	0.2
69.5705	34.776	14.82	0.2
84.3042	28.3088	10	0.2
84.3373	28.2785	10	0.2
69.4966	36.5242	31.91	0.2
94.1354	36.696	10	0.2
70.9548	36.61	72.99	0.2
92.4849	26.7477	38.21	0.2
92.5136	26.7489	35	0.2
89.5874	35.5232	10	0.2
89.7629	30.0036	10	0.2
78.7499	32.4789	10	0.2
70.8628	36.4947	183.7	0.2
90.6416	31.6849	10	0.2
92.9564	31.9628	10	0.2
92.9137	31.8686	10	0.2
88.9412	27.1863	10	0.2
89.3989	35.6454	10	0.2
87.6921	34.3549	8	0.2
92.6692	27.6289	29.81	0.2
92.9084	31.9664	10	0.2
93.7808	28.2935	10	0.2
71.2033	36.4722	122.81	0.2
83.4724	34.7094	15.11	0.2
86.3698	30.1485	10	0.2
70.6937	36.4189	211.82	0.2
95.0793	25.3809	89.49	0.2
80.3638	34.1448	10	0.2
92.5712	26.7322	18.67	0.2
69.5893	37.9531	10	0.2
87.3785	28.7463	10	0.2
87.362	28.8225	8.7	0.2
71.6199	37.1151	117.26	0.2
72.0043	39.3194	53.39	0.2
70.6979	36.4494	204	0.2
75.5872	33.3042	10	0.2
72.9466	34.741	10	0.2
96.6534	25.6397	10	0.2
69.3533	36.1322	26.1	0.2
70.211	38.149	10	0.2
67.435	30.3659	12.04	0.2
74.5595	39.6173	10	0.2
70.6139	38.9261	35	0.2
70.5077	38.8942	18.76	0.2
71.9384	37.3589	140.65	0.2
75.7388	33.5339	10	0.2
69.282	37.9543	10	0.2
75.7044	38.9056	10	0.2
71.742	37.6026	51.88	0.2
70.1961	38.5352	10	0.2
71.2789	39.5588	15.05	0.2
90.2627	33.384	10	0.2
71.2366	36.6548	219.45	0.2
73.918	39.6124	47.78	0.2
94.7776	25.643	61.51	0.2
79.1272	34.0992	10	0.2
79.2141	34.1788	10	0.2
75.8586	33.229	10	0.2
71.0706	36.2641	109.92	0.2
78.1519	34.1448	10	0.2
74.4055	34.7214	10	0.2
78.2058	34.2487	10	0.2
73.6916	38.0113	36.3	0.2
68.311	29.7909	24.34	0.2
94.5784	35.6868	10	0.2
85.8765	27.8464	10	0.2
93.4619	31.7318	10	0.2
77.8901	37.9774	10	0.2
95.5832	26.0998	86.9	0.2
94.7798	30.3829	10	0.2
86.6267	32.9399	10	0.2
94.8125	30.3546	10	0.2
94.826	30.3765	10	0.2
69.8698	38.5517	5.39	0.2
94.7198	30.4144	10	0.2
95.1615	29.8985	10	0.2
94.742	30.3544	10	0.2
94.9345	30.4464	10	0.2
94.7737	30.3605	10	0.2
94.7817	30.4109	10	0.2
86.8848	33.0351	10	0.2
77.3352	39.7747	10	0.2
94.841	30.4288	10	0.2
86.7387	33.0674	10	0.2
94.7527	30.386	10	0.2
94.7909	30.3366	10	0.2
94.7738	30.3811	10	0.2
94.7098	30.3956	10	0.2
94.8218	30.4061	10	0.2
94.806	30.389	10	0.2
94.8368	30.3757	10	0.2
94.8313	30.3884	10	0.2
86.8235	33.1508	10	0.2
94.7159	30.3844	10	0.2
86.773	33.2088	10	0.2
94.8312	30.4304	10	0.2
94.862	30.4051	10	0.2
94.8431	30.4109	10	0.2
94.8613	30.412	10	0.2
70.7366	35.3767	82.48	0.2
73.5538	37.9905	44.73	0.2
71.2625	36.4387	114.53	0.2
71.0224	36.3844	117.16	0.2
82.4308	35.6726	10	0.2
70.9225	39.0341	10	0.2
75.9509	32.998	10	0.2
75.8744	33.1193	43.89	0.2
82.3801	35.5546	10	0.2
82.4472	35.6685	10	0.2
82.4619	35.6587	10	0.2
71.0335	36.6712	229.31	0.2
97.0594	26.6545	10	0.2
85.5107	32.8636	10	0.2
94.9732	29.9346	10	0.2
73.9702	39.6508	10	0.2
86.0378	27.7046	10	0.2
73.9426	39.6837	10	0.2
70.5821	36.5341	199.81	0.2
68.7379	37.5452	10	0.2
68.5796	37.505	10	0.2
71.5363	39.3607	10	0.2
70.544	36.3646	168.81	0.2
70.6608	36.3494	159.32	0.2
73.9151	39.7884	17.35	0.2
85.4882	32.6775	10	0.2
98.9089	33.1265	10	0.2
71.0957	36.6765	214.05	0.2
94.684	38.0919	10	0.2
72.3038	39.0679	10	0.2
85.8363	34.5391	10	0.2
85.3323	32.7152	10	0.2
85.5456	32.8006	10	0.2
71.1384	36.4064	115.46	0.2
71.7765	38.8319	10	0.2
76.2474	32.9752	10	0.2
71.5469	37.2739	117.05	0.2
77.4323	39.7209	10	0.2
85.7767	34.5533	10	0.2
85.6961	34.5182	10	0.2
71.8207	38.9306	10	0.2
72.6827	37.9615	128.81	0.2
90.7847	26.3386	10	0.2
79.9831	30.0278	18.78	0.2
71.2477	36.5831	128.66	0.2
95.7207	28.9807	10	0.2
77.2433	39.768	10	0.2
94.7497	38.9966	10	0.2
