longitude	latitude	depth	Scaled Size
74.612	34.7875	10	0.1
97.3006	39.2068	10	0.1
81.8374	33.5462	10	0.1
70.8873	38.9501	10	0.1
71.0598	36.5875	108.578	0.1
71.1475	36.4468	111.027	0.1
71.1059	36.6851	215.122	0.1
71.94	37.3323	200.67	0.1
81.7891	33.5055	15.639	0.1
74.72	37.2283	10	0.1
71.3433	36.4562	102.756	0.1
70.2909	36.5275	197.88	0.1
70.7444	36.4553	200.083	0.1
70.2518	36.1518	114.155	0.1
69.2816	35.1777	10	0.1
71.7834	39.4	10	0.1
92.6067	28.1382	10	0.1
72.4957	38.0039	121.644	0.1
72.1636	38.2298	97.577	0.1
99.8131	25.2199	10	0.1
68.7507	36.5721	43.851	0.1
72.1504	37.5036	203.122	0.1
81.7076	33.3732	10	0.1
74.2601	39.5929	52.621	0.1
74.8905	38.7265	56.097	0.1
71.3734	36.4883	120.398	0.1
81.7453	33.492	10	0.1
76.8257	33.1489	45.414	0.1
81.8828	33.5515	10	0.1
70.9649	36.5951	211.732	0.1
71.1382	36.5138	87.562	0.1
70.2967	36.507	204.061	0.1
81.6271	33.4259	10	0.1
72.3029	37.5913	189.951	0.1
81.9321	33.6749	10	0.1
69.957	36.4599	251.599	0.1
70.3547	36.5187	205.035	0.1
71.9951	37.6074	133.778	0.1
71.6704	39.2843	10	0.1
71.2754	36.6899	179.993	0.1
70.4922	36.0167	89.287	0.1
69.2094	37.7199	10	0.1
70.9075	35.4669	95.072	0.1
71.3791	31.8969	10	0.1
72.1315	39.74	10	0.1
76.8223	33.1643	10	0.1
69.3957	34.1662	10	0.1
71.4021	36.6962	179.953	0.1
95.9137	28.6316	10	0.1
71.1424	36.1555	102.22	0.1
82.9392	32.4821	10	0.1
99.8886	29.8724	10	0.1
67.8719	36.5888	10	0.1
70.3	31.1869	10	0.1
70.2164	31.0173	10	0.1
71.1842	36.7075	93.848	0.1
69.4182	36.3185	10.805	0.1
92.8117	33.474	10	0.1
69.4833	38.4226	10	0.1
70.4189	38.5875	12.98	0.1
93.184	33.6817	10	0.1
93.1401	33.6245	10	0.1
71.3751	36.7248	192.93	0.1
71.8274	37.5695	114.142	0.1
71.0078	36.4936	160.79	0.1
74.4171	39.0778	10	0.1
90.2866	25.7414	10	0.1
70.8546	36.5653	216.362	0.1
92.8311	32.0128	10	0.1
71.5034	36.7883	260.647	0.1
76.5903	39.9107	10	0.1
80.6613	30.4045	10	0.1
74.0547	38.144	167.503	0.1
71.3558	36.3624	113.574	0.1
88.0921	29.6188	89.466	0.1
73.8801	38.3581	134.406	0.1
68.4535	36.6106	10	0.1
76.8103	33.1787	10	0.1
73.6461	39.4744	43.067	0.1
70.2323	36.5331	229.907	0.1
71.0071	36.1223	98.178	0.1
70.0014	37.3044	8.934	0.1
70.5485	36.5171	199.038	0.1
76.8759	33.1565	10	0.1
70.4434	36.1928	149.576	0.1
71.5916	39.3132	10	0.1
91.9949	33.9802	15.886	0.1
77.2833	36.4734	129.081	0.1
72.1269	37.5121	185.378	0.1
73.5447	38.6744	95.989	0.1
69.7867	37.4579	10	0.1
73.7827	38.3258	146.784	0.1
70.8862	36.5308	191.726	0.1
69.5934	34.7434	62.554	0.1
71.0025	36.605	214.722	0.1
70.6989	36.4994	193.98	0.1
72.2609	37.5605	190.84	0.1
71.7005	37.8837	66.804	0.1
70.8426	36.3351	129.818	0.1
71.3078	36.7571	182.442	0.1
70.7402	36.469	194.311	0.1
71.2797	36.9699	106.134	0.1
73.8415	38.5803	109.752	0.1
90.7519	38.4937	10	0.1
73.9207	38.3846	133.724	0.1
72.9547	38.2592	54.15	0.1
72.1868	37.5164	203.403	0.1
71.5142	37.0412	120.62	0.1
96.5321	25.1373	15.1	0.1
70.392	38.7612	16.13	0.1
70.9466	36.3806	141.6	0.1
70.365	36.565	206.675	0.1
71.4049	36.4175	101.857	0.1
89.5404	38.5541	10	0.1
69.4623	36.5522	209.428	0.1
71.4547	36.7277	179.852	0.1
92.2512	29.8765	10	0.1
76.7306	33.1245	10	0.1
71.0844	36.7295	210.814	0.1
72.1365	37.3217	228.761	0.1
93.2892	25.6032	10	0.1
71.3171	36.3661	219.305	0.1
81.1253	29.522	22.599	0.1
70.9512	36.6494	217.586	0.1
71.1348	36.6721	89.59	0.1
70.5667	36.5278	217.774	0.1
70.8889	36.5755	208.962	0.1
71.8034	37.1973	152.796	0.1
70.7905	36.5029	204.028	0.1
71.0258	36.5241	158.138	0.1
97.2317	39.274	10	0.1
86.6116	27.9221	10	0.1
86.3806	28.0886	10	0.1
86.4237	28.0794	10	0.1
74.0407	38.237	163.138	0.1
76.7872	33.2551	17.945	0.1
71.5341	36.5332	101.737	0.1
95.4358	26.0489	82.85	0.1
90.8777	38.5058	10	0.1
69.9176	36.162	122.959	0.1
73.6254	38.6772	102.533	0.1
73.0469	33.4702	10	0.1
76.6507	33.1492	10	0.1
70.5946	36.3708	160.675	0.1
70.139	29.3551	10	0.1
70.5292	36.504	204.177	0.1
70.9487	36.2931	108.321	0.1
76.9915	36.7912	115.422	0.1
70.3729	36.5081	194.47	0.1
69.9711	36.3106	144.121	0.1
72.2049	37.4934	198.73	0.1
91.786	25.2901	46.386	0.1
71.0524	36.3089	132.983	0.1
87.8388	27.8117	70.467	0.1
69.8057	32.2829	44.594	0.1
71.3331	37.1609	126.516	0.1
71.7332	37.2864	125.318	0.1
73.8447	38.423	128.307	0.1
71.2484	36.4367	92.344	0.1
96.6026	25.2211	10	0.1
70.9752	36.4972	201.314	0.1
85.1323	27.6889	10	0.1
81.1707	29.5224	10	0.1
71.1766	36.4976	221.689	0.1
71.1279	36.4844	242.573	0.1
76.2091	33.0154	16.68	0.1
72.1751	37.4826	190.997	0.1
75.1448	37.2131	10	0.1
71.0829	39.1273	14.396	0.1
71.013	36.4111	101.666	0.1
71.0272	33.4935	10	0.1
71.3244	36.6045	221.464	0.1
68.4447	36.783	32.857	0.1
68.4972	36.7592	51.508	0.1
82.2728	28.976	10	0.1
96.6025	26.4186	118.316	0.1
68.4926	36.7294	45.632	0.1
81.9912	28.8332	10	0.1
68.4069	36.7355	49.83	0.1
68.5516	36.7565	45.976	0.1
74.5584	37.3894	53.734	0.1
67.2022	35.0819	16.517	0.1
74.5228	37.4823	68.478	0.1
74.7217	37.4095	11.059	0.1
74.6496	37.4538	12.677	0.1
74.6008	37.226	10	0.1
74.5637	37.381	12.149	0.1
83.7227	36.5324	10	0.1
74.1286	38.1511	171.598	0.1
71.7861	37.2573	136.129	0.1
83.7545	36.5994	10	0.1
73.088	37.3853	65.278	0.1
68.5758	36.7842	45.946	0.1
70.9725	36.5742	183.956	0.1
70.8742	36.5947	211.79	0.1
83.7932	36.6518	10	0.1
96.8669	26.7385	52.637	0.1
71.8833	37.3084	136.201	0.1
83.6546	36.6111	10	0.1
97.1944	39.2193	10	0.1
83.7544	36.6532	10	0.1
71.5977	39.1623	8.718	0.1
86.6091	31.4395	10	0.1
84.646	27.8519	26.661	0.1
71.571	38.9512	10	0.1
81.357	29.6681	10	0.1
68.6913	37.5213	36.974	0.1
80.7774	30.0924	10	0.1
69.4221	36.884	88.464	0.1
67.0949	27.8282	10	0.1
79.3974	31.8115	10	0.1
73.9645	37.7912	62.596	0.1
70.9687	36.3472	117.334	0.1
81.2129	29.5722	10	0.1
74.0165	37.6551	10	0.1
74.0037	37.6614	10	0.1
70.0672	36.4918	226.249	0.1
86.3755	30.798	10	0.1
79.3465	31.7268	10	0.1
73.8079	37.9015	11.429	0.1
71.5013	36.3154	103.342	0.1
75.2766	37.6849	101.69	0.1
81.2904	29.7245	10	0.1
81.1691	29.5231	10	0.1
71.7468	38.7152	10	0.1
81.1706	29.5106	10	0.1
70.8543	36.4846	192.727	0.1
81.1092	29.3074	10	0.1
86.3467	31.0357	10	0.1
71.5363	38.8017	44.207	0.1
71.7467	38.8568	10	0.1
97.0376	26.0535	10	0.1
96.2333	33.9769	10	0.1
97.416	33.6069	10	0.1
97.3249	33.6259	10	0.1
74.7291	39.663	54.45	0.1
71.1605	36.7147	221.278	0.1
72.5538	37.9959	126.654	0.1
94.6666	29.7208	10	0.1
73.8424	34.9414	10	0.1
70.5223	36.176	100.952	0.1
70.9497	36.1505	98.134	0.1
90.9964	38.2622	10	0.1
71.0485	36.6788	215.493	0.1
70.9933	36.5938	204.783	0.1
68.4533	36.1509	116.624	0.1
99.0366	34.5365	10	0.1
71.7677	38.9221	10	0.1
94.8956	30.5044	10	0.1
71.2011	36.4706	107.77	0.1
71.3935	36.6365	112.337	0.1
73.1308	37.396	72.458	0.1
71.7324	37.1262	134.028	0.1
75.4096	38.7781	10	0.1
94.7822	30.3231	10	0.1
71.511	36.5543	114.637	0.1
72.2476	37.5277	178.863	0.1
69.6911	36.097	114.024	0.1
71.7617	37.2064	134.059	0.1
82.8366	39.5686	10	0.1
70.9751	36.3718	104.398	0.1
71.4936	36.6512	102.322	0.1
71.0815	36.4444	244.47	0.1
81.8208	34.6507	10	0.1
71.1738	36.6357	211.373	0.1
81.5232	35.9411	10	0.1
78.0152	39.389	10	0.1
71.5795	37.1018	190.318	0.1
71.0049	36.5918	210.505	0.1
71.1784	36.4588	103.804	0.1
95.0584	30.4403	10	0.1
72.0545	37.7392	117.816	0.1
70.9438	36.5249	182.685	0.1
72.6948	37.2579	90.602	0.1
72.3175	37.5458	192.042	0.1
87.1512	28.2888	79.496	0.1
82.939	31.6469	10	0.1
70.2011	36.2423	144.421	0.1
92.2948	33.1356	10	0.1
70.3039	38.8137	17.091	0.1
71.5785	37.0985	116.177	0.1
71.3131	36.4929	98.143	0.1
71.272	36.6988	192.596	0.1
71.746	37.2546	114.539	0.1
80.7013	30.2183	10	0.1
71.3177	36.539	118.561	0.1
70.3189	36.1102	137.858	0.1
71.0798	36.7125	243.301	0.1
69.1298	36.3873	44.653	0.1
70.2002	36.571	213.933	0.1
69.3548	37.0751	10	0.1
71.7394	37.3828	131.976	0.1
92.8956	32.0655	10	0.1
94.8451	30.6596	10	0.1
94.6516	30.7849	10	0.1
71.2614	36.5663	222.873	0.1
94.4266	30.4008	10	0.1
71.8832	37.263	154.502	0.1
70.9815	36.593	181.244	0.1
71.6591	37.5602	124.218	0.1
71.9062	39.3669	18.618	0.1
95.008	25.1642	86.88	0.1
75.8906	26.8685	10	0.1
76.0979	33.1046	10	0.1
